date,cash_in_echannel,cash_out_echannel,cash_in_kantor,cash_out_kantor,cr_ketetapan_total_bkn_sum,giro,deposito,kewajiban_lain,tabungan,rata_dpk_mingguan,kas_kantor,kas_echannel
8/30/2019,840400000,-523100000,18434839700,-18361128500,3,1.40877E+12,8.10253E+11,12760968678,6.28338E+11,3.30016E+11,8.67105E+11,3370650000
8/31/2019,1515700000,-376150000,0,0,3,1.33128E+12,8.10257E+11,14288718104,6.72455E+11,3.06137E+11,8.67105E+11,4510200000
9/1/2019,733800000,-869050000,1.26857E+11,-1.25027E+11,3,9.69484E+11,8.05362E+11,13257613853,6.57485E+11,3.06137E+11,8.68936E+11,4374950000
9/2/2019,813750000,-1309400000,2.41316E+11,-84493018603,3,8.30266E+11,7.93992E+11,10811853250,6.60807E+11,3.06137E+11,1.02576E+12,3879300000
9/3/2019,494000000,-664400000,33864869571,-76043087771,3,8.27651E+11,7.93508E+11,10799201787,6.57797E+11,3.06137E+11,9.8358E+11,3708900000
9/4/2019,532150000,-665850000,2.19732E+11,-56105321752,3,7.60439E+11,7.97044E+11,10655452022,6.61634E+11,3.06137E+11,1.14721E+12,3575200000
9/5/2019,836550000,-729850000,1.57725E+11,-84772473146,3,8.73323E+11,7.92839E+11,12268104507,6.56959E+11,3.06137E+11,1.22016E+12,3681900000
9/6/2019,859650000,-635900000,1696475300,-1545198500,3,8.84602E+11,7.92839E+11,12448304325,6.50868E+11,3.06137E+11,1.22031E+12,3905650000
9/7/2019,946450000,-284250000,0,0,3,8.87243E+11,7.92839E+11,12528921295,6.45823E+11,3.24547E+11,1.22031E+12,4567850000
9/8/2019,562000000,-1276550000,1.32103E+11,-92078625055,3,9.06809E+11,7.92738E+11,12840176251,6.43729E+11,3.24547E+11,1.26033E+12,3853300000
9/9/2019,612200000,-790850000,68245220064,-1.12314E+11,3,1.08118E+12,7.94738E+11,13150056147,6.46843E+11,3.24547E+11,1.21627E+12,3674650000
9/10/2019,610850000,-633100000,1.15764E+11,-89200064267,3,1.13073E+12,7.94761E+11,13164612565,6.45966E+11,3.24547E+11,1.24283E+12,3652400000
9/11/2019,484650000,-614050000,1.77939E+11,-72791049577,3,9.47144E+11,9.36963E+11,12018346362,6.49963E+11,3.24547E+11,1.34798E+12,3523000000
9/12/2019,471000000,-778700000,2.1296E+11,-80443188910,3,8.94498E+11,9.11958E+11,11885786260,6.50584E+11,3.24547E+11,1.4805E+12,3215300000
9/13/2019,886100000,-621750000,0,0,3,9.07527E+11,9.11962E+11,12040211491,6.46283E+11,3.24547E+11,1.4805E+12,3479650000
9/14/2019,877850000,-280300000,0,0,3,9.11331E+11,9.11965E+11,12174729841,6.42882E+11,3.24547E+11,1.4805E+12,4077200000
9/15/2019,527150000,-601200000,93941314190,-1.1967E+11,3,9.0604E+11,9.11909E+11,10848044352,6.40765E+11,2.99383E+11,1.45477E+12,4003150000
9/16/2019,621400000,-670500000,62578568919,-1.09125E+11,3,7.9648E+11,9.22606E+11,10798698940,6.39956E+11,2.99383E+11,1.40822E+12,3954050000
9/17/2019,644300000,-1439800000,52807829169,-83408373769,3,8.24454E+11,9.23158E+11,11313043070,6.3518E+11,2.99383E+11,1.37762E+12,3158550000
9/18/2019,559750000,-844350000,2.37209E+11,-48349657728,3,8.54268E+11,9.23003E+11,11322513028,6.3223E+11,2.99383E+11,1.56648E+12,2873950000
9/19/2019,765800000,-684450000,2.71294E+11,-2.83974E+11,3,9.0957E+11,9.23163E+11,19504309906,6.31453E+11,2.99383E+11,1.5538E+12,2955300000
9/20/2019,1050050000,-784650000,0,0,3,9.63065E+11,9.23158E+11,19685750873,6.27385E+11,2.99383E+11,1.5538E+12,3220700000
9/21/2019,465850000,-397250000,0,0,3,9.67364E+11,9.2316E+11,19789813479,6.23918E+11,2.99383E+11,1.5538E+12,3289300000
9/22/2019,630100000,-617900000,67260679656,-1.30603E+11,3,9.78618E+11,9.22094E+11,11809594222,6.21009E+11,2.99383E+11,1.49046E+12,3301500000
9/23/2019,438300000,-519650000,1.30397E+11,-1.19315E+11,3,8.67823E+11,8.76574E+11,12123946838,6.28132E+11,3.0916E+11,1.50154E+12,3220150000
9/24/2019,719950000,-828750000,90173322377,-71028828574,3,7.31157E+11,8.76625E+11,11041062891,6.51016E+11,3.0916E+11,1.52068E+12,3111350000
9/25/2019,389350000,-868450000,1.79622E+11,-63600967393,3,8.63488E+11,8.66586E+11,10787415093,6.52818E+11,3.0916E+11,1.63671E+12,2632250000
9/26/2019,1755800000,-827600000,60428540026,-69346707726,3,1.57526E+12,8.65436E+11,11994627933,6.49126E+11,3.0916E+11,1.62779E+12,3560450000
9/27/2019,690850000,-1140950000,1202193500,-1158618700,3,1.5895E+12,8.6534E+11,11959253912,6.42063E+11,3.0916E+11,1.62783E+12,3110350000
9/28/2019,780300000,-266250000,150010000,0,3,1.59399E+12,8.65402E+11,12151962630,6.37382E+11,3.0916E+11,1.62798E+12,3624400000
9/29/2019,880550000,-1408750000,1.59229E+11,-1.01542E+11,3,1.42768E+12,8.66537E+11,12093795490,6.47295E+11,3.0916E+11,1.68567E+12,3096200000
9/30/2019,857750000,-1195100000,1.78041E+11,-1.33188E+11,3,7.76508E+11,8.64459E+11,13971241645,6.8703E+11,3.08423E+11,1.73052E+12,2758850000
10/1/2019,738300000,-827950000,76355106652,-65741684452,3,8.16865E+11,8.63823E+11,11757135331,6.77024E+11,3.08423E+11,1.74113E+12,2669200000
10/2/2019,1029900000,-818900000,1.30369E+11,-72383749551,3,7.3985E+11,7.76557E+11,11894218550,6.67007E+11,3.08423E+11,1.79912E+12,2880200000
10/3/2019,509750000,-871600000,4.40023E+11,-1.63821E+11,3,6.44804E+11,7.7883E+11,10916513279,6.70873E+11,3.08423E+11,2.07532E+12,2518350000
10/4/2019,712600000,-551550000,0,0,3,6.55649E+11,7.78831E+11,11065699533,6.63745E+11,3.08423E+11,2.07532E+12,2679400000
10/5/2019,811250000,-351350000,0,0,3,6.60137E+11,7.7891E+11,10923707233,6.58722E+11,3.08423E+11,2.07532E+12,3139300000
10/6/2019,1248000000,-950300000,1.65774E+11,-88142522699,3,9.58219E+11,7.80225E+11,12180329508,6.5553E+11,3.08423E+11,2.15295E+12,3437000000
10/7/2019,1043400000,-791100000,86487947267,-81054789167,3,9.66583E+11,7.81356E+11,12207785327,6.55046E+11,3.45025E+11,2.15839E+12,3689300000
10/8/2019,669650000,-802450000,1.1294E+11,-1.37701E+11,3,9.29169E+11,7.81057E+11,10833704090,6.47558E+11,3.45025E+11,2.13362E+12,3556500000
10/9/2019,419800000,-716750000,1.12295E+11,-58653823230,3,8.4113E+11,7.81058E+11,10527940640,6.47704E+11,3.45025E+11,2.18727E+12,3259550000
10/10/2019,667050000,-968750000,1.13057E+11,-60146616904,3,7.17783E+11,9.10375E+11,10800426706,6.51618E+11,3.45025E+11,2.24018E+12,2957850000
10/11/2019,1010100000,-646400000,0,0,3,7.28034E+11,9.10333E+11,10965105646,6.46153E+11,3.45025E+11,2.24018E+12,3321550000
10/12/2019,581550000,-275350000,0,0,3,7.31829E+11,9.10229E+11,10761204500,6.41711E+11,3.45025E+11,2.24018E+12,3627750000
10/13/2019,583050000,-709700000,82848667399,-98776611399,3,9.39648E+11,7.7773E+11,10438461795,6.43251E+11,3.45025E+11,2.22425E+12,3501100000
10/14/2019,707600000,-726900000,1.21879E+11,-1.45571E+11,3,7.90311E+11,7.78968E+11,10696506012,6.52369E+11,3.45025E+11,2.20056E+12,3481800000
10/15/2019,467600000,-787000000,86987682914,-98271365814,3,8.37789E+11,7.7942E+11,10664078197,6.48041E+11,2.81825E+11,2.18927E+12,3162400000
10/16/2019,485650000,-802400000,79306467713,-63624297446,3,8.07916E+11,7.7998E+11,10757227666,6.46406E+11,2.81825E+11,2.20495E+12,2845650000
10/17/2019,708650000,-706850000,1.79393E+11,-61983420538,3,5.55606E+11,9.52209E+11,10896834676,6.46367E+11,2.81825E+11,2.32236E+12,2847450000
10/18/2019,659100000,-621150000,0,0,3,5.80314E+11,9.52205E+11,10957446149,6.41857E+11,2.81825E+11,2.32236E+12,2885400000
10/19/2019,687850000,-401250000,0,0,3,5.93237E+11,9.52205E+11,10803584502,6.3775E+11,2.81825E+11,2.32236E+12,3172000000
10/20/2019,570200000,-762300000,1.22559E+11,-1.35092E+11,3,1.13158E+12,7.84121E+11,16315851498,6.32793E+11,2.7922E+11,2.30983E+12,2979900000
10/21/2019,557100000,-547050000,92026198858,-89249905658,3,1.18674E+12,7.84119E+11,10419495485,6.2557E+11,2.7922E+11,2.31261E+12,2989950000
10/22/2019,724800000,-617400000,1.10446E+11,-77625030032,3,1.13955E+12,7.84246E+11,10479261675,6.21521E+11,2.7922E+11,2.34543E+12,3097350000
10/23/2019,534350000,-573650000,1.0717E+11,-37043964243,3,1.10306E+12,7.8207E+11,10998801219,6.24934E+11,2.89816E+11,2.41555E+12,3058050000
10/24/2019,599950000,-849250000,2.10803E+11,-1.3836E+11,3,5.88775E+11,1.22272E+12,10253775042,6.47543E+11,2.89816E+11,2.488E+12,2808750000
10/25/2019,804050000,-420500000,0,0,3,6.12879E+11,1.22272E+12,10441193067,6.39568E+11,2.89816E+11,2.488E+12,3192300000
10/26/2019,1014050000,-331600000,0,0,3,6.14471E+11,1.22272E+12,10493798024,6.34506E+11,2.89816E+11,2.488E+12,3874750000
10/27/2019,680700000,-693500000,1.80408E+11,-1.29199E+11,3,1.26817E+12,7.86569E+11,10456339343,6.36975E+11,2.89816E+11,2.53921E+12,3861950000
10/28/2019,614800000,-987700000,1.11208E+11,-80379770145,3,1.25038E+12,7.86588E+11,13950629441,6.36744E+11,2.89816E+11,2.57003E+12,3489050000
10/29/2019,530100000,-619850000,60740091934,-59074470734,3,2.22389E+12,7.86124E+11,13587944050,6.35597E+11,2.89816E+11,2.5717E+12,3399300000
10/30/2019,560400000,-883450000,1.33633E+11,-59485459603,3,2.15407E+12,7.85867E+11,14091036385,6.3715E+11,2.89816E+11,2.64585E+12,3076250000
10/31/2019,754750000,-1078200000,2.84349E+11,-1.14542E+11,3,7.09643E+11,1.34549E+12,15610473181,6.96208E+11,2.93638E+11,2.81565E+12,2752800000
11/1/2019,1041650000,-548050000,0,0,3,7.2463E+11,1.34549E+12,15763268170,6.83466E+11,2.93638E+11,2.81565E+12,3246400000
11/2/2019,932350000,-422700000,0,0,3,7.28283E+11,1.34564E+12,15352742310,6.75776E+11,2.93638E+11,2.81565E+12,3756050000
11/3/2019,821150000,-1505550000,1.2516E+11,-98746593480,3,1.31828E+12,7.32601E+11,13957801954,6.56275E+11,2.93638E+11,2.84207E+12,3071650000
11/4/2019,591450000,-662200000,1.49131E+11,-92716028876,3,1.20903E+12,7.92389E+11,13486042480,6.53558E+11,2.93638E+11,2.89848E+12,3000900000
11/5/2019,507400000,-696500000,61788122832,-75478914832,3,1.18242E+12,7.6958E+11,14920679856,6.4804E+11,2.93638E+11,2.88479E+12,2811800000
11/6/2019,578700000,-639200000,87152363160,-78985111460,3,1.13376E+12,7.69111E+11,12841024218,6.46646E+11,2.93638E+11,2.89296E+12,2751300000
11/7/2019,592400000,-640300000,1.66211E+11,-1.15268E+11,3,6.89026E+11,1.17433E+12,11425986323,6.48952E+11,3.53099E+11,2.9439E+12,2703400000
11/8/2019,993400000,-482450000,0,0,3,6.9445E+11,1.17433E+12,11590375766,6.43807E+11,3.53099E+11,2.9439E+12,3214350000
11/9/2019,677700000,-284700000,0,0,3,6.90587E+11,1.17433E+12,11771342032,6.39028E+11,3.53099E+11,2.9439E+12,3607350000
11/10/2019,685050000,-746400000,1.10523E+11,-1.06374E+11,3,1.12446E+12,7.67582E+11,11741775749,6.34004E+11,3.53099E+11,2.94805E+12,3546000000
11/11/2019,702250000,-642400000,87895001771,-1.28508E+11,3,1.1151E+12,7.47558E+11,11854794532,6.33104E+11,3.53099E+11,2.90744E+12,3605850000
11/12/2019,825400000,-1368500000,88120375309,-75378220409,3,1.15191E+12,7.73903E+11,11571497184,6.27709E+11,3.53099E+11,2.92018E+12,3062750000
11/13/2019,641200000,-600550000,71766051458,-54768980158,3,1.0966E+12,7.7427E+11,11001458944,6.27255E+11,3.53099E+11,2.93718E+12,3103400000
11/14/2019,551050000,-668400000,1.78412E+11,-61626098577,3,5.95582E+11,1.23066E+12,11313411951,6.32289E+11,3.53099E+11,3.05396E+12,2986050000
11/15/2019,558500000,-614750000,0,0,3,6.06823E+11,1.23072E+12,11426123154,6.27323E+11,3.36933E+11,3.05396E+12,2929800000
11/16/2019,1044950000,-338850000,0,0,3,6.11078E+11,1.23071E+12,11614647950,6.23639E+11,3.36933E+11,3.05396E+12,3635900000
11/17/2019,826000000,-1021800000,84981087644,-1.09823E+11,3,8.506E+11,7.75387E+11,11606768176,6.20663E+11,3.36933E+11,3.02912E+12,3440100000
11/18/2019,575550000,-534800000,60600714568,-95809021668,3,8.80955E+11,7.74909E+11,11912349944,6.26031E+11,3.36933E+11,2.99391E+12,3480850000
11/19/2019,457250000,-642200000,90640876797,-91574262197,3,8.93613E+11,7.74954E+11,11580719628,6.2269E+11,3.36933E+11,2.99298E+12,3295900000
11/20/2019,656500000,-1106300000,1.24107E+11,-98654474207,3,8.6203E+11,7.74258E+11,11702098535,6.27805E+11,3.36933E+11,3.01843E+12,2846100000
11/21/2019,766250000,-572250000,1.77865E+11,-1.03063E+11,3,7.95734E+11,7.79517E+11,11696573850,6.36588E+11,3.36933E+11,3.09323E+12,3040100000
11/22/2019,1122750000,-480300000,0,0,3,7.93871E+11,7.79517E+11,11745935045,6.3111E+11,3.36933E+11,3.09323E+12,3682550000
11/23/2019,729300000,-279600000,0,0,3,7.98216E+11,7.79517E+11,11877668574,6.27085E+11,3.14892E+11,3.09323E+12,4132250000
11/24/2019,883000000,-1302850000,1.37716E+11,-1.03748E+11,3,8.16881E+11,7.29321E+11,11313416859,6.44249E+11,3.14892E+11,3.1272E+12,3712400000
11/25/2019,511200000,-689850000,1.2402E+11,-97441092292,3,9.07532E+11,7.29437E+11,11147924603,6.40693E+11,3.14892E+11,3.15378E+12,3533750000
11/26/2019,532400000,-630350000,72643483230,-92616592430,3,1.19448E+12,7.29406E+11,11184434796,6.39358E+11,3.14892E+11,3.13381E+12,3435800000
11/27/2019,752550000,-687100000,94476556434,-54968349534,3,1.96596E+12,7.54466E+11,12404437360,6.38527E+11,3.14892E+11,3.17331E+12,3501250000
11/28/2019,829400000,-1017450000,3.6397E+11,-1.00829E+11,3,1.56487E+12,9.43063E+11,16406796395,6.44053E+11,3.14892E+11,3.43646E+12,3313200000
11/29/2019,981900000,-662900000,17427686500,-17381968600,3,1.56368E+12,9.43077E+11,14961018747,6.42501E+11,3.14892E+11,3.4365E+12,3632200000
11/30/2019,995800000,-376850000,0,0,3,1.48756E+12,9.43081E+11,17759486247,6.85257E+11,2.89435E+11,3.4365E+12,4251150000
12/1/2019,1338650000,-1165150000,1.20972E+11,-1.37675E+11,3,9.7188E+11,7.9193E+11,14934896486,6.77649E+11,2.89435E+11,3.4198E+12,4424650000
12/2/2019,789550000,-983000000,1.19106E+11,-79184860200,3,1.13144E+12,7.9213E+11,13136625716,6.68936E+11,2.89435E+11,3.45972E+12,4231200000
12/3/2019,796300000,-939800000,1.45552E+11,-81505938112,3,1.0832E+12,7.80579E+11,13483480186,6.66451E+11,2.89435E+11,3.52376E+12,4087700000
12/4/2019,497100000,-990450000,97556118362,-63918352462,3,9.30546E+11,7.81621E+11,14751372531,6.63467E+11,2.89435E+11,3.5574E+12,3594350000
12/5/2019,426450000,-904400000,2.38783E+11,-52076107943,3,7.13454E+11,1.00282E+12,16251673134,6.81007E+11,2.89435E+11,3.74411E+12,3116400000
12/6/2019,692850000,-642550000,158994300,0,3,7.25549E+11,1.00282E+12,15120793922,6.73875E+11,2.89435E+11,3.74427E+12,3166700000
12/7/2019,875550000,-361900000,0,0,3,7.29671E+11,1.00211E+12,15219103705,6.6833E+11,3.3903E+11,3.74427E+12,3680350000
12/8/2019,774250000,-760350000,1.22777E+11,-1.15462E+11,3,9.92116E+11,7.79975E+11,15212560811,6.71672E+11,3.3903E+11,3.75158E+12,3694250000
12/9/2019,734600000,-652800000,28553354582,-84648097682,3,9.92221E+11,7.79938E+11,16069441977,6.72969E+11,3.3903E+11,3.69549E+12,3776050000
12/10/2019,721300000,-588750000,76714012193,-85178202893,3,1.02993E+12,7.80486E+11,15381770757,6.7565E+11,3.3903E+11,3.68702E+12,3908600000
12/11/2019,848450000,-1494950000,92920925390,-50648884890,3,1.0231E+12,7.80924E+11,14796319741,6.82086E+11,3.3903E+11,3.7293E+12,3262100000
12/12/2019,532300000,-543200000,2.46395E+11,-93849918930,3,9.39695E+11,7.82975E+11,14253798207,6.81304E+11,3.3903E+11,3.88184E+12,3251200000
12/13/2019,701700000,-615100000,192812700,0,3,9.50791E+11,7.82981E+11,14382435317,6.76158E+11,3.3903E+11,3.88203E+12,3337800000
12/14/2019,693400000,-337400000,0,0,3,9.55087E+11,7.82983E+11,14499365472,6.71058E+11,3.3903E+11,3.88203E+12,3693800000
12/15/2019,774200000,-517350000,1.09472E+11,-1.13365E+11,3,1.19607E+12,7.83195E+11,13322810177,6.77483E+11,3.20727E+11,3.87814E+12,3950650000
12/16/2019,427350000,-623800000,67736398612,-1.06055E+11,3,1.10265E+12,7.83318E+11,14448724731,6.76616E+11,3.20727E+11,3.83982E+12,3754200000
12/17/2019,560200000,-651750000,73282305209,-46814011624,3,1.18412E+12,7.8332E+11,16363183837,6.76011E+11,3.20727E+11,3.86629E+12,3662650000
12/18/2019,729900000,-745050000,76271680477,-71633606477,3,1.3676E+12,7.8338E+11,25202706801,6.84798E+11,3.20727E+11,3.87093E+12,3647500000
12/19/2019,591750000,-583650000,6.56926E+11,-77838136221,3,1.14068E+12,9.73256E+11,19939260431,6.93299E+11,3.20727E+11,4.45002E+12,3655600000
12/20/2019,676350000,-479250000,0,0,3,1.18487E+12,9.73256E+11,20117723317,6.86486E+11,3.20727E+11,4.45002E+12,3852700000
12/21/2019,413250000,-156850000,220000000,0,3,1.18656E+12,9.73258E+11,20236000767,6.81381E+11,3.20727E+11,4.45024E+12,4109100000
12/22/2019,776850000,-1446850000,89273258409,-1.7794E+11,3,1.48968E+12,8.74978E+11,16241770331,7.00493E+11,3.20727E+11,4.36157E+12,3439100000
12/23/2019,1508600000,-732400000,1877817000,-1702360700,3,1.49954E+12,8.74978E+11,16419824569,6.933E+11,3.06313E+11,4.36175E+12,4215300000
12/24/2019,1111500000,-409800000,0,0,3,1.50556E+12,8.74879E+11,15404112600,6.8817E+11,3.06313E+11,4.36175E+12,4917000000
12/25/2019,1043800000,-1550500000,2.37486E+11,-1.71868E+11,3,1.54658E+12,8.59269E+11,14966190264,6.84379E+11,3.06313E+11,4.42736E+12,4410300000
12/26/2019,884200000,-2670100000,82906644696,-1.53371E+11,3,1.35338E+12,1.56308E+12,45944388788,6.85796E+11,3.06313E+11,4.3569E+12,2624400000
12/27/2019,966950000,-713050000,2362354900,-2068738200,3,1.35833E+12,1.59308E+12,15707667650,6.80388E+11,3.06313E+11,4.35719E+12,2878300000
12/28/2019,512050000,-485850000,88721000,0,3,1.35627E+12,1.59301E+12,15922333525,6.76192E+11,3.06313E+11,4.35728E+12,2904500000
12/29/2019,971600000,-829000000,57129513895,-1.47755E+11,3,2.61253E+12,1.20985E+12,16602067448,6.81681E+11,3.06313E+11,4.26666E+12,3047100000
12/30/2019,754450000,-775000000,78721738675,-1.33166E+11,3,2.08575E+12,1.37916E+12,14810667597,6.92806E+11,3.06313E+11,4.21221E+12,3026550000
12/31/2019,402100000,-479500000,0,0,3,1.98246E+12,1.37916E+12,15090711042,6.90047E+11,3.50041E+11,4.21221E+12,2949150000
1/1/2020,722300000,-917850000,1.05668E+11,-1.52342E+11,3,1.82587E+12,1.11411E+12,16274417166,7.13771E+11,3.50041E+11,4.16554E+12,2753600000
1/2/2020,1854750000,-904350000,2.36452E+11,-1.21634E+11,3,1.05674E+12,1.43842E+12,12784259297,7.04337E+11,3.50041E+11,4.28036E+12,3704000000
1/3/2020,844500000,-741200000,0,0,3,1.06248E+12,1.43843E+12,12856108313,6.97151E+11,3.50041E+11,4.28036E+12,3807300000
1/4/2020,1501350000,-415600000,0,0,3,1.06639E+12,1.43843E+12,13117128611,6.90611E+11,3.50041E+11,4.28036E+12,4893050000
1/5/2020,728750000,-1083300000,1.05621E+11,-1.25717E+11,3,1.34484E+12,1.05861E+12,16553549844,6.83225E+11,3.50041E+11,4.26026E+12,4538500000
1/6/2020,777900000,-710650000,1.40598E+11,-1.19022E+11,3,1.28169E+12,9.80423E+11,16006260251,6.82384E+11,3.50041E+11,4.28184E+12,4605750000
1/7/2020,510550000,-517600000,53799711333,-99883545833,3,1.15343E+12,1.02731E+12,16419247013,6.74831E+11,4.51621E+11,4.23575E+12,4598700000
1/8/2020,414450000,-501750000,1.03451E+11,-85770688278,3,1.10437E+12,1.02785E+12,17732872509,6.73841E+11,4.51621E+11,4.25343E+12,4511400000
1/9/2020,614000000,-970250000,1.88863E+11,-84146794258,3,6.83718E+11,1.36882E+12,18159891711,6.74786E+11,4.51621E+11,4.35815E+12,4155150000
1/10/2020,831050000,-598100000,0,0,3,6.95085E+11,1.36882E+12,18364979859,6.70525E+11,4.51621E+11,4.35815E+12,4388100000
1/11/2020,468300000,-417200000,0,0,3,7.0013E+11,1.36882E+12,18580568464,6.6692E+11,4.51621E+11,4.35815E+12,4439200000
1/12/2020,750850000,-724950000,57637699847,-1.13566E+11,3,1.08753E+12,1.0579E+12,17997691513,6.60227E+11,4.51621E+11,4.30222E+12,4465100000
1/13/2020,601250000,-938550000,1.07982E+11,-1.09306E+11,3,1.00688E+12,1.05598E+12,17604169603,6.60553E+11,4.51621E+11,4.3009E+12,4127800000
1/14/2020,785450000,-506500000,80020267953,-81203792353,3,9.75281E+11,1.00747E+12,17737439111,6.61441E+11,4.51621E+11,4.29971E+12,4406750000
1/15/2020,925150000,-837900000,98949665142,-77929715742,3,9.62881E+11,1.00715E+12,17994808066,6.56373E+11,4.18433E+11,4.32073E+12,4494000000
1/16/2020,693950000,-1170350000,2.04135E+11,-78928396846,3,9.18762E+11,1.03726E+12,17680041965,6.5402E+11,4.18433E+11,4.44594E+12,4017600000
1/17/2020,824400000,-671450000,0,0,3,9.31951E+11,1.03727E+12,17836294492,6.49413E+11,4.18433E+11,4.44594E+12,4170550000
1/18/2020,802850000,-433550000,0,0,3,9.39885E+11,1.03726E+12,17897523709,6.45979E+11,4.18433E+11,4.44594E+12,4539850000
1/19/2020,919350000,-2027500000,89483728450,-1.28238E+11,3,1.08865E+12,9.99709E+11,17543930457,6.45155E+11,4.18433E+11,4.40719E+12,3431700000
